Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Antti Mertanen,80860,992,73,65,62.0,,+11,95,62
Krystof Novak,55426,972,70,63,67.0,,+11,95,63
Ralf Hupper,47157,982,71,61,69.0,,+12,100,61
Lasse Keranen,42505,979,67,65,69.0,,+12,100,65
Niko Rattya,52488,977,67,68,66.0,,+12,100,66
Viktor Jonsson,60171,965,72,67,63.0,,+13,103,63
Riku Vink,64853,1008,70,59,74.0,,+14,104,59
Aleksi Karvinen,179254,959,67,72,66.0,,+16,105,66
Luukas Rokkanen,64917,996,68,71,67.0,,+17,106,67
Ismo Sutela,78711,974,60,74,72.0,,+17,106,60
Timi Suni,79872,952,74,70,62.0,,+17,106,62
Elias Gripler,79004,975,68,62,77.0,,+18,109,62
Saku Poikonen,75759,986,69,67,72.0,,+19,110,67
Erik Aalto,55183,983,66,74,68.0,,+19,110,66
Luke Bayne,166771,995,67,65,77.0,,+20,112,65
Juhani Vainio,30752,978,65,68,76.0,,+20,112,65
Sami Makiporhola,71979,999,70,70,73.0,,+24,114,70
Rickard Skold,57981,958,71,74,68.0,,+24,114,68
Niko Leskinen,67535,977,72,79,72.0,,+34,116,72
Joris Richter,111962,1007,63,999,,,,117,63
