Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Tyler Wozniak,92805,984,70,71.0,60.0,+9,109,70
Dallas Wrinkle,88370,970,65,73.0,64.0,+10,111,65
Danny Beauchamp,76153,1005,70,67.0,67.0,+12,112,67
Oskari Vikstrom,74130,1000,72,70.0,62.0,+12,112,70
Jonathan Fletcher,65940,996,70,70.0,64.0,+12,112,70
Stanislaus Amann,87790,992,70,69.0,65.0,+12,112,69
Jay Yeti Reading,15864,991,68,75.0,63.0,+14,116,68
Justin Birch Sr,59026,972,73,81.0,71.0,+33,117,73
Luke Humphries,69424,1017,64,999.0,,,118,64
Brandon Hauer,55021,973,71,999.0,,,118,71
Elijah Bickel,94844,1010,999,,,,120,999
