Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Tyler Schrock,71872,992,71,61,69.0,+12,106,61
Randall Karshis,23943,987,67,68,66.0,+12,106,67
Tyler Wozniak,92805,976,72,66,64.0,+13,110,66
Garry Patton,49643,1005,73,63,67.0,+14,111,63
Elijah Bickel,94844,1017,69,65,71.0,+16,112,65
Sullivan Tipton,78817,1010,70,67,68.0,+16,112,67
Silas Schultz,79047,1007,70,70,65.0,+16,112,70
Bonner Butler,61104,1000,70,65,70.0,+16,112,65
Jared Stoll,68103,976,72,61,72.0,+16,112,61
Scott Conway,38603,1004,77,65,67.0,+20,117,65
Chris Zagone,32774,947,80,71,71.0,+33,118,71
Chris Harris,37146,1008,71,65,999.0,,119,65
Gregg Barsby,15857,1025,65,999,,,120,65
